型号,brand,index_zol,price,OLED,IP,full_screen,screen_per,screen_size,back_cam_lst,back_cam_num,back_cam_1,back_cam_2,back_cam_3,back_cam_4,back_cam_5,front_cam_lst,front_cam_num,front_cam_1,front_cam_2,front_cam_3,front_cam_4,front_cam_5,CPU_brand,CPU,ram,rom,5G,dpi,ppi,size,device_length,device_width,device_thickness,fingerprint_type,release_date,releaseY,releaseM,wireless_charge,quick_charge,battery_vol
华为麦芒9（6GB/128GB/全网通/5G版）参数,华为手机,1331386,,,,1,90,6.8,6400万像素+800万像素+200万像素高清级像素高清像素手机>,3,6400,800,200,,,1600万像素>高清级像素高像素自拍手机>,1,1600,,,,,联发科,联发科 天玑800（MT6873）手机性能排行>,6,128,1,2400x1080,386ppi,170x78.5x8.9mm,170,78.5,8.9,侧面指纹 ,2020年08月,2020,08,,1,4300
华为nova 6 5G（8GB/128GB/全网通）参数,华为手机,1298290,,,,1,,6.57,4000万像素超感光镜头+800万像素长焦镜头+800万像素超广角镜头高清级像素高清像素手机>,3,4000,800,800,,,3200万像素自动对焦镜头+800万像素广角镜头高清级像素高像素自拍手机>,2,3200,800,,,,海思,海思 麒麟990+巴龙5000手机性能排行>,8,128,1,2400x1080,,162.7x75.8x8.98mm,162.7,75.8,8.98,侧面指纹 ,2019年12月12日,2019,12,,1,4200
华为P20（全网通）参数,华为手机,1175779,,,,1,80.34,5.8,2000万像素+1200万像素高清级像素 样张秀>，高清像素手机>,2,2000,1200,,,,2400万像素高清级像素高像素自拍手机>,1,2400,,,,,海思,海思 麒麟 970更多海思 麒麟 970手机>，手机性能排行>,6,64,,2244x1080,428ppi,149.1x70.8x7.65mm,149.1,70.8,7.65,前置指纹 ,2018年4月12日,2018,4,,,3400
华为畅享10（4GB/64GB/全网通）参数,华为手机,1295323,,,,1,90.15,6.39,4800万像素+200万像素高清级像素 样张秀>，高清像素手机>,2,4800,200,,,,800万像素>普通级像素高像素自拍手机>,1,800,,,,,海思,海思 麒麟 710F手机性能排行>,4,64,,1560x720,,159.81x76.13x8.13mm,159.81,76.13,8.13,,2019年10月18日,2019,10,,1,4000
华为P40（8GB/256GB/全网通/5G版）参数,华为手机,1316636,,1,IP53,1,,6.1,5000万像素超感知镜头+1600万像素超广角镜头+800万像素长焦镜头高清级像素高清像素手机>,3,5000,1600,800,,,3200万像素+红外摄像头高清级像素高像素自拍手机>,1,3200,,,,,海思,海思 麒麟 990 5G手机性能排行>,8,256,1,2340x1080,422ppi,148.9x71.06x8.5mm,148.9,71.06,8.5,屏幕指纹 ,2020年4月8日,2020,4,,1,3800
华为Mate30（6GB/128GB/全网通）参数,华为手机,1293875,,1,IP53,1,,6.62,4000万像素主摄镜头+1600万像素超广角镜头+800万像素长焦镜头高清级像素高清像素手机>,3,4000,1600,800,,,2400万像素高清级像素高像素自拍手机>,1,2400,,,,,海思,海思 麒麟 990手机性能排行>,6,128,,2340x1080,,160.8*76.1*8.4mm,160.8,76.1,8.4,屏幕指纹 ,2019年09月,2019,09,1,1,4200
华为nova 6 SE（8GB/128GB/全网通）参数,华为手机,1301506,,,,1,90.6,6.4,4800万像素超感光主摄+800万像素超广角镜头+200万像素背景虚化镜头+200万像素微距镜头高清级像素高清像素手机>,4,4800,800,200,200,,1600万像素>高清级像素高像素自拍手机>,1,1600,,,,,海思,海思 麒麟810手机性能排行>,8,128,1,2310x1080,398ppi,159.2x76.3x8.7mm,159.2,76.3,8.7,侧面指纹 ,2019年12月25日,2019,12,,1,4200
华为P40 Pro（8GB/128GB/全网通/5G版）参数,华为手机,1315874,,1,IP68,1,,6.58,5000万像素超感知镜头+4000万像素超广角镜头+1200万像素超感光长焦镜头+3D深感摄像头高清级像素高清像素手机>,4,5000,4000,1200,3,,3200万像素+景深摄像头高清级像素高像素自拍手机>,1,3200,,,,,海思,海思 麒麟 990 5G手机性能排行>,8,128,1,2640x1200,441ppi,158.2x72.6x8.95mm,158.2,72.6,8.95,屏幕指纹 ,2020年4月8日,2020,4,1,1,4200
华为nova 7（8GB/128GB/5G版/全网通）参数,华为手机,1315404,,1,,1,,6.53,6400万像素超感光镜头+800万像素超广角镜头+800万像素长焦镜头+200万像素微距镜头高清级像素高清像素手机>,4,6400,800,800,200,,3200万像素高清级像素高像素自拍手机>,1,3200,,,,,海思,海思 麒麟985手机性能排行>,8,128,1,2400x1080,,160.64x74.33x7.96mm,160.64,74.33,7.96,屏幕指纹 ,2020年04月28日,2020,04,,1,4000
华为nova 7（8GB/256GB/5G版/全网通）参数,华为手机,1320707,,1,,1,,6.53,6400万像素超感光镜头+800万像素超广角镜头+800万像素长焦镜头+200万像素微距镜头高清级像素高清像素手机>,4,6400,800,800,200,,3200万像素高清级像素高像素自拍手机>,1,3200,,,,,海思,海思 麒麟985手机性能排行>,8,256,1,2400x1080,,160.64x74.33x7.96mm,160.64,74.33,7.96,屏幕指纹 ,2020年04月28日,2020,04,,1,4000
华为畅享20 Pro（8GB/128GB/全网通/5G版）参数,华为手机,1328593,,,,1,91.2,6.5,4800万像素主镜头+800万像素超广角/景深镜头+200万像素微距镜头高清级像素高清像素手机>,3,4800,800,200,,,1600万像素>高清级像素高像素自拍手机>,1,1600,,,,,联发科,联发科 天玑800（MT6873）手机性能排行>,8,128,1,2400x1080,405ppi,160x75.32x8.35mm,160,75.32,8.35,侧面指纹 ,2020年06月24日,2020,06,,1,4000
华为nova 5（8GB/128GB全网通）参数,华为手机,1273758,,1,,1,85.15,6.39,4800万像素+1600万像素+200万像素+200万像素高清级像素高清像素手机>,4,4800,1600,200,200,,3200万像素高清级像素高像素自拍手机>,1,3200,,,,,海思,海思 麒麟 810手机性能排行>,8,128,1,2340x1080,403ppi,157.4x74.8x7.33mm,157.4,74.8,7.33,屏幕指纹 ,2019年7月20日,2019,7,,1,3500
华为P40 Pro+（8GB/512GB/全网通/5G版）参数,华为手机,1316633,,1,IP68,1,,6.58,5000万像素主摄+4000万像素超广角镜头+800万像素超级变焦摄像头+800万像素长焦摄像头+3D深感镜头高清级像素高清像素手机>,5,5000,4000,800,800,3,3200万像素+景深摄像头高清级像素高像素自拍手机>,1,3200,,,,,海思,海思 麒麟 990 5G手机性能排行>,8,512,1,2640x1200,441ppi,158.2x72.6x9.0mm,158.2,72.6,9.0,屏幕指纹 ,2020年6月1日,2020,6,1,1,4200
华为麦芒9（8GB/128GB/全网通/5G版）参数,华为手机,1333295,,,,1,90,6.8,6400万像素+800万像素+200万像素高清级像素高清像素手机>,3,6400,800,200,,,1600万像素>高清级像素高像素自拍手机>,1,1600,,,,,联发科,联发科 天玑800（MT6873）手机性能排行>,8,128,1,2400x1080,386ppi,170x78.5x8.9mm,170,78.5,8.9,侧面指纹 ,2020年08月,2020,08,,1,4300
华为nova 5i（6GB/128GB/全网通）参数,华为手机,1278893,,,,1,83.96,6.4,2400万像素+800万像素+200万像素+200万像素TOF镜头高清级像素高清像素手机>,4,2400,800,200,200,,2400万像素高清级像素高像素自拍手机>,1,2400,,,,,海思,海思 麒麟 710更多海思 麒麟 710手机>，手机性能排行>,6,128,1,2310x1080,398ppi,159.1x75.9x8.3mm,159.1,75.9,8.3,后置指纹 ,2019年6月21,2019,6,,,4000
华为P40 Pro（8GB/256GB/全网通/5G版）参数,华为手机,1316637,,1,IP68,1,,6.58,5000万像素超感知镜头+4000万像素超广角镜头+1200万像素超感光长焦镜头+3D深感摄像头高清级像素高清像素手机>,4,5000,4000,1200,3,,3200万像素+景深摄像头高清级像素高像素自拍手机>,1,3200,,,,,海思,海思 麒麟 990 5G手机性能排行>,8,256,1,2640x1200,441ppi,158.2x72.6x8.95mm,158.2,72.6,8.95,屏幕指纹 ,2020年4月8日,2020,4,1,1,4200
华为nova 7 Pro（8GB/256GB/5G版/全网通）参数,华为手机,1320708,,1,,1,,6.57,6400万像素+800万像素+800万像素+200万像素高清级像素高清像素手机>,4,6400,800,800,200,,3200万像素+800万像素高清级像素高像素自拍手机>,2,3200,800,,,,海思,海思 麒麟985手机性能排行>,8,2565,1,2340x1080,,160.36x73.74x7.98mm,160.36,73.74,7.98,屏幕指纹 ,2020年04月28日,2020,04,,1,4000
华为畅享20 Pro（6GB/128GB/全网通/5G版）参数,华为手机,1327459,,,,1,91.2,6.5,4800万像素主镜头+800万像素超广角/景深镜头+200万像素微距镜头高清级像素高清像素手机>,3,4800,800,200,,,1600万像素>高清级像素高像素自拍手机>,1,1600,,,,,联发科,联发科 天玑800（MT6873）手机性能排行>,6,128,1,2400x1080,405ppi,160x75.32x8.35mm,160,75.32,8.35,侧面指纹 ,2020年06月24日,2020,06,,1,4000
华为P30 Pro（8GB/128GB/全网通）参数,华为手机,1223829,,1,IP68,1,88.61,6.47,4000万像素+2000万像素+800万像素+TOF镜头高清级像素 样张秀>，高清像素手机>,3,4000,2000,800,,,3200万像素高清级像素高像素自拍手机>,1,3200,,,,,海思,海思 麒麟 980游戏运行完美(击败96.79%手机)更多海思 麒麟 980手机>，手机性能排行>,8,128,1,2340x1080,398ppi,158x73.4x8.41mm,158,73.4,8.41,屏幕指纹 ,2019年04月,2019,04,1,1,4200
华为Mate 20 Pro（6GB RAM/全网通）参数,华为手机,1224162,,1,IP68,1,87.87,6.39,4000万像素+2000万像素+800万像素高清级像素 样张秀>，高清像素手机>,3,4000,2000,800,,,2400万像素高清级像素高像素自拍手机>,1,2400,,,,,海思,海思 麒麟 980游戏运行完美(击败92.13%手机)更多海思 麒麟 980手机>，手机性能排行>,6,128,,3120x1440,538ppi,157.8x72.3x8.6mm,157.8,72.3,8.6,,2018年10月26日,2018,10,1,1,4200
华为Mate40 Pro+（全网通/5G版）参数,华为手机,1337289,,1,,1,,,10800万像素高清级像素高清像素手机>,1,10800,,,,,,0,,,,,,海思,海思 麒麟9000手机性能排行>,8,128,1,2640x1200,,,,,,屏幕指纹 ,2020年>,2020,,,,
华为nova 7 SE（8GB/128GB/5G版/全网通）参数,华为手机,1319769,,,,1,,6.5,6400万像素+800万像素+200万像素+200万像素高清级像素高清像素手机>,4,6400,800,200,200,,1600万像素>高清级像素高像素自拍手机>,1,1600,,,,,海思,海思 麒麟820手机性能排行>,8,128,1,2400x1080,,162.31x75x8.58mm,162.31,75,8.58,侧面指纹 ,2020年04月28日,2020,04,,1,4000
华为Mate40（全网通/5G版）参数,华为手机,1326272,,1,,1,,,10800万像素高清级像素高清像素手机>,1,10800,,,,,,0,,,,,,海思,海思 麒麟9000手机性能排行>,8,128,1,2640x1200,,,,,,屏幕指纹 ,2020年>,2020,,,,
华为Mate V（全网通）参数,华为手机,1330794,,,,,,,,0,,,,,,,0,,,,,,海思,海思 麒麟手机性能排行>,6,64,1,,,,,,,,2020年>,2020,,,,
华为Mate30（8GB/128GB/全网通/5G版/玻璃版）参数,华为手机,1238183,,1,IP53,1,,6.62,4000万像素主摄镜头+1600万像素超广角镜头+800万像素长焦镜头高清级像素高清像素手机>,3,4000,1600,800,,,2400万像素高清级像素高像素自拍手机>,1,2400,,,,,海思,海思 麒麟 990 5G手机性能排行>,8,128,1,2340x1080,,160.8*76.1*8.4mm,160.8,76.1,8.4,屏幕指纹 ,2019年11月01日,2019,11,1,1,4200
华为P11 Plus（全网通）参数,华为手机,1207036,,,,1,,5.93,,0,,,,,,,0,,,,,,,,,,,,,,,,,,2018年>,2018,,,,
华为nova 3（全网通）参数,华为手机,1185512,,,,1,84.21,6.3,彩色1600万像素+黑白2400万像素高清级像素 样张秀>，高清像素手机>,2,1600,2400,,,,彩色2400万像素+彩色200万像素高清级像素高像素自拍手机>,2,2400,200,,,,海思,海思 麒麟 970更多海思 麒麟 970手机>，手机性能排行>,6,64,,2340x1080,409ppi,157x73.7x7.3mm,157,73.7,7.3,后置指纹 ,2018年07月,2018,07,,1,3750
华为P40 Pro+（8GB/256GB/全网通/5G版）参数,华为手机,1316634,,1,IP68,1,,6.58,5000万像素主摄+4000万像素超广角镜头+800万像素超级变焦摄像头+800万像素长焦摄像头+3D深感镜头高清级像素高清像素手机>,5,5000,4000,800,800,3,3200万像素+景深摄像头高清级像素高像素自拍手机>,1,3200,,,,,海思,海思 麒麟 990 5G手机性能排行>,8,256,1,2640x1200,441ppi,158.2x72.6x9.0mm,158.2,72.6,9.0,屏幕指纹 ,2020年6月1日,2020,6,1,1,4200
华为Mate 20 RS保时捷版（全网通）参数,华为手机,1230266,,1,,,87.87,6.39,4000万像素+2000万像素+800万像素高清级像素高清像素手机>,3,4000,2000,800,,,2400万像素高清级像素高像素自拍手机>,1,2400,,,,,海思,海思 麒麟 980更多海思 麒麟 980手机>，手机性能排行>,8,512,,3120x1440,538ppi,157.8x72.3x9.7mm,157.8,72.3,9.7,,2018年11月17日,2018,11,,,4200
华为P40（6GB/128GB/全网通/5G版）参数,华为手机,1291831,,1,IP53,1,,6.1,5000万像素超感知镜头+1600万像素超广角镜头+800万像素长焦镜头高清级像素高清像素手机>,3,5000,1600,800,,,3200万像素+红外摄像头高清级像素高像素自拍手机>,1,3200,,,,,海思,海思 麒麟 990 5G手机性能排行>,6,128,1,2340x1080,422ppi,148.9x71.06x8.5mm,148.9,71.06,8.5,屏幕指纹 ,2020年4月8日,2020,4,,1,3800
华为nova 5T（全网通）参数,华为手机,1289557,,,,1,,5.5,4800万像素+1600万像素+200万像素+200万像素高清级像素高清像素手机>,4,4800,1600,200,200,,3200万像素高清级像素高像素自拍手机>,1,3200,,,,,,,8,128,,,,,,,,,2019年>,2019,,,1,3750
华为P11（全网通）参数,华为手机,1166922,,,,1,,5.2,双1600万像素高清级像素高清像素手机>,1,1600,,,,,,0,,,,,,,,6,,,2560x1440,565ppi,,,,,,2018年03月,2018,03,,,
华为Y3 2017（全网通）参数,华为手机,1169886,,,,,64.43,5,800万像素>普通级像素高清像素手机>,1,800,,,,,200万像素>普通级像素高像素自拍手机>,1,200,,,,,联发科,联发科 MT6737M手机性能排行>,1,8,,854x480,196ppi,145.1x73.7x9.45mm,145.1,73.7,9.45,,2017年>,2017,,,,2200
华为nova 7 Pro（8GB/128GB/5G版/全网通）参数,华为手机,1319765,,1,,1,,6.57,6400万像素+800万像素+800万像素+200万像素高清级像素高清像素手机>,4,6400,800,800,200,,3200万像素+800万像素高清级像素高像素自拍手机>,2,3200,800,,,,海思,海思 麒麟985手机性能排行>,8,128,1,2340x1080,,160.36x73.74x7.98mm,160.36,73.74,7.98,屏幕指纹 ,2020年04月28日,2020,04,,1,4000
华为P10 Plus（VKY-AL00/6GB RAM全网通）参数,华为手机,1163813,,,,,73.22,5.5,2000万像素+1200万像素高清级像素 样张秀>，高清像素手机>,2,2000,1200,,,,800万像素>普通级像素高像素自拍手机>,1,800,,,,,海思,海思 麒麟 960游戏运行完美(击败76.68%手机)更多海思 麒麟 960手机>，手机性能排行>,6,64,1,2560x1440,534ppi,153.5x74.2x6.98mm,153.5,74.2,6.98,前置指纹 ,2017年03月>,2017,03,,1,3750
华为畅享20 Plus（6GB/128GB/全网通/5G版）参数,华为手机,1334934,,,,1,92,6.63,4800万像素主镜头+800万像素超广角/景深镜头+200万像素微距镜头高清级像素高清像素手机>,3,4800,800,200,,,1600万像素>高清级像素高像素自拍手机>,1,1600,,,,,联发科,联发科 MT6853 5G手机性能排行>,6,128,1,2400x1080,397ppi,163.5x76.5x8.95mm,163.5,76.5,8.95,侧面指纹 ,2020年9月10日,2020,9,,1,4200
华为nova 2 Lite（全网通）参数,华为手机,1209335,,,,1,,,1300万像素+200万像素高清级像素高清像素手机>,2,1300,200,,,,800万像素>普通级像素高像素自拍手机>,1,800,,,,,高通,高通 骁龙430（MSM8937）更多高通 骁龙430（MSM8937）手机>，手机性能排行>,3,32,,,,,,,,后置指纹 ,2018年>,2018,,,,3000
华为Mate30 Pro（8GB/128GB/全网通/5G版/玻璃版）参数,华为手机,1293901,,1,IP68,1,,6.53,4000万像素电影超广角镜头+4000万像素超感光镜头+800万像素长焦镜头+3D深感镜头高清级像素高清像素手机>,4,4000,4000,800,3,,3200万像素高清级像素高像素自拍手机>,1,3200,,,,,海思,海思 麒麟 990 5G手机性能排行>,8,128,1,2400x1176,,158.1x73.1x8.8mm,158.1,73.1,8.8,屏幕指纹 ,2019年11月01日,2019,11,1,1,4500
华为畅享8e青春版（全网通）参数,华为手机,1217895,,,,1,73.8,5.45,1300万像素>高清级像素高清像素手机>,1,1300,,,,,500万像素>普通级像素高像素自拍手机>,1,500,,,,,联发科,联发科 MT6739手机性能排行>,2,32,1,1440x720,295ppi,146.5x70.9x8.3mm,146.5,70.9,8.3,,2018年06月,2018,06,,,3020
华为nova 8 SE（全网通/5G版）参数,华为手机,1338710,,,,1,,6.5,6400万像素+800万像素+200万像素+200万像素高清级像素高清像素手机>,4,6400,800,200,200,,1600万像素>高清级像素高像素自拍手机>,1,1600,,,,,联发科,联发科 天玑800手机性能排行>,,,1,2400x1080,,162.31x75x8.58mm,162.31,75,8.58,侧面指纹 ,2020年>,2020,,,1,4000
华为畅享10S（8GB/128GB/全网通）参数,华为手机,1303016,,1,,1,,6.3,4800万像素主镜头+800万像素超广角镜头+200万像素景深镜头高清级像素高清像素手机>,3,4800,800,200,,,1600万像素>高清级像素高像素自拍手机>,1,1600,,,,,海思,海思 麒麟 710F手机性能排行>,8,128,1,2400x1080,417ppi,157.4x73.2x7.75mm,157.4,73.2,7.75,屏幕指纹 ,2019年11月,2019,11,,,4000
华为nova 2 Plus（BAC-AL00/全网通）参数,华为手机,1170043,,,,,72.35,5.5,1200万像素+800万像素高清级像素 样张秀>，高清像素手机>,2,1200,800,,,,2000万像素高清级像素高像素自拍手机>,1,2000,,,,,海思,海思 麒麟 659手机性能排行>,4,128,,1920x1080,401ppi,153.9x74.9x6.9mm,153.9,74.9,6.9,后置指纹 ,2017年06月,2017,06,,,3340
华为Mate30 Pro（8GB/512GB/全网通/5G版/素皮版）参数,华为手机,1293907,,1,IP68,1,,6.53,4000万像素电影超广角镜头+4000万像素超感光镜头+800万像素长焦镜头+3D深感镜头高清级像素高清像素手机>,4,4000,4000,800,3,,3200万像素高清级像素高像素自拍手机>,1,3200,,,,,海思,海思 麒麟 990 5G手机性能排行>,8,512,1,2400x1176,,158.1x73.1x9.5mm,158.1,73.1,9.5,屏幕指纹 ,2019年11月01日,2019,11,1,1,4500
华为Y7p（4GB/64GB/全网通）参数,华为手机,1326093,,,,1,90.15,6.39,4800万像素+800万像素+200万像素高清级像素高清像素手机>,3,4800,800,200,,,800万像素>普通级像素高像素自拍手机>,1,800,,,,,海思,海思 麒麟710F手机性能排行>,4,64,,1560x720,,159.81x76.13x8.13mm,159.81,76.13,8.13,后置指纹 ,2020年>,2020,,,,4000
华为畅享9e（全网通）参数,华为手机,1252483,,,,1,78.81,6.088,1300万像素>高清级像素高清像素手机>,1,1300,,,,,800万像素>普通级像素高像素自拍手机>,1,800,,,,,联发科,联发科 Helio P35更多联发科 Helio P35手机>，手机性能排行>,3,32,,1560x720,282ppi,156x74x8mm,156,74,8,,2019年03月,2019,03,,,3020
华为Mate30（8GB/128GB/全网通）参数,华为手机,1293856,,1,IP53,1,,6.62,4000万像素主摄镜头+1600万像素超广角镜头+800万像素长焦镜头高清级像素高清像素手机>,3,4000,1600,800,,,2400万像素高清级像素高像素自拍手机>,1,2400,,,,,海思,海思 麒麟 990手机性能排行>,8,128,,2340x1080,389ppi,160.8*76.1*8.4mm,160.8,76.1,8.4,屏幕指纹 ,2019年09月,2019,09,1,1,4200
华为Mate30 Pro（8GB/256GB/全网通）参数,华为手机,1293857,,1,IP68,1,,6.53,4000万像素电影超广角镜头+4000万像素超感光镜头+800万像素长焦镜头+3D深感镜头高清级像素高清像素手机>,4,4000,4000,800,3,,3200万像素高清级像素高像素自拍手机>,1,3200,,,,,海思,海思 麒麟 990手机性能排行>,8,256,,2400x1176,,158.1x73.1x8.8mm,158.1,73.1,8.8,屏幕指纹 ,2019年09月,2019,09,1,1,4500
华为畅享10S（6GB/128GB/全网通）参数,华为手机,1303014,,1,,1,,6.3,4800万像素主镜头+800万像素超广角镜头+200万像素景深镜头高清级像素高清像素手机>,3,4800,800,200,,,1600万像素>高清级像素高像素自拍手机>,1,1600,,,,,海思,海思 麒麟 710F手机性能排行>,6,128,1,2400x1080,417ppi,157.4x73.2x7.75mm,157.4,73.2,7.75,屏幕指纹 ,2019年11月,2019,11,,,4000
华为畅享10 Plus（6GB/128GB/全网通）参数,华为手机,1291507,,,,1,91,6.59,4800万像素广角+800万像素超广角+200万像素景深高清级像素高清像素手机>,3,4800,800,200,,,1600万像素>高清级像素高像素自拍手机>,1,1600,,,,,海思,海思 麒麟 710F手机性能排行>,6,128,1,2340x1080,,163.5x77.3x8.8mm,163.5,77.3,8.8,后置指纹 ,2019年09月10日,2019,09,,1,4000
华为nova 8（全网通/5G版）参数,华为手机,1338711,,,,1,,6.5,6400万像素+800万像素+200万像素+200万像素高清级像素高清像素手机>,4,6400,800,200,200,,1600万像素>高清级像素高像素自拍手机>,1,1600,,,,,联发科,联发科 天玑800U手机性能排行>,,,1,2400x1080,,162.31x75x8.58mm,162.31,75,8.58,侧面指纹 ,2020年>,2020,,,1,4000
华为畅享20（4GB/128GB/全网通/5G版）参数,华为手机,1337911,,,,1,,6.6,1300万像素主摄镜头+800万像素超广角镜头+200万像素景深镜头高清级像素高清像素手机>,3,1300,800,200,,,800万像素>普通级像素高像素自拍手机>,1,800,,,,,联发科,联发科 MT6853 5G手机性能排行>,4,128,1,1600x720,266ppi,165.2x76x9.2mm,165.2,76,9.2,侧面指纹 ,2020年9月10日,2020,9,,1,5000
华为nova 6 5G（8GB/256GB/全网通）参数,华为手机,1303596,,,,1,,6.57,4000万像素超感光镜头+800万像素长焦镜头+800万像素超广角镜头高清级像素高清像素手机>,3,4000,800,800,,,3200万像素自动对焦镜头+800万像素广角镜头高清级像素高像素自拍手机>,2,3200,800,,,,海思,海思 麒麟990，巴龙5000手机性能排行>,8,256,1,2400x1080,,162.7x75.8x8.98mm,162.7,75.8,8.98,侧面指纹 ,2019年12月12日,2019,12,,1,4200
华为Y6p（3GB/64GB/全网通）参数,华为手机,1321943,,,,1,,6.3,1300万像素主摄+500万像素超广角镜头+200万像素景深镜头高清级像素高清像素手机>,3,1300,500,200,,,800万像素>普通级像素高像素自拍手机>,1,800,,,,,联发科,联发科 Helio P22手机性能排行>,3,64,,1600x720,,,,,,后置指纹 ,2020年05月,2020,05,,,5000
华为Mate 10（6GB RAM/全网通）参数,华为手机,1184692,,,,,81.95,5.9,2000万像素+1200万像素高清级像素 样张秀>，高清像素手机>,2,2000,1200,,,,800万像素>普通级像素高像素自拍手机>,1,800,,,,,海思,海思 麒麟 970更多海思 麒麟 970手机>，手机性能排行>,6,128,,2560x1440,498ppi,150.5x77.8x8.2mm,150.5,77.8,8.2,前置指纹 ,2017年10月20日,2017,10,,1,4000
华为Y6 Pro（移动4G）参数,华为手机,1138705,,,,,,5,1300万像素>高清级像素高清像素手机>,1,1300,,,,,500万像素>普通级像素高像素自拍手机>,1,500,,,,,联发科,联发科 MT6735P手机性能排行>,2,16,,1280x720,294ppi,,,,,,,,,,1,4000
华为nova 5 Pro（8GB/128GB/全网通）参数,华为手机,1279521,,1,,1,91,6.39,4800万像素超清镜头+1600万像素超广角镜头+200万像素微距镜头+200万像素景深镜头高清级像素 样张秀>，高清像素手机>,4,4800,1600,200,200,,3200万像素高清级像素高像素自拍手机>,1,3200,,,,,海思,海思 麒麟 980更多海思 麒麟 980手机>，手机性能排行>,8,128,1,2340x1080,403ppi,157.4x74.8x7.33mm,157.4,74.8,7.33,屏幕指纹 ,2019年6月,2019,6,,1,3500
华为Mate30 Lite（全网通）参数,华为手机,1287860,,1,,,93,7,1600万像素+2400万像素+800万像素高清级像素高清像素手机>,3,1600,2400,800,,,2400万像素高清级像素高像素自拍手机>,1,2400,,,,,海思,海思 麒麟 1020手机性能排行>,10,1,,3840x2160,629ppi,,,,,屏幕指纹 ,2019年09月,2019,09,,1,4200
华为nova 3i（4GB RAM/全网通）参数,华为手机,1222100,,,,1,82.22,6.3,1600万像素+200万像素高清级像素高清像素手机>,2,1600,200,,,,2400万像素+200万像素高清级像素高像素自拍手机>,2,2400,200,,,,海思,海思 麒麟 710更多海思 麒麟 710手机>，手机性能排行>,4,128,,2340x1080,409ppi,157.6x75.2x7.6mm,157.6,75.2,7.6,后置指纹 ,2018年>,2018,,,,3340
华为nova 5Z（6GB/128GB/全网通）参数,华为手机,1309985,,,,1,90.7,6.268,4800万像素主摄镜头+800万像素超广角镜头+200万像素景深镜+200万像素微距高清级像素高清像素手机>,4,4800,800,200,200,,3200万像素高清级像素高像素自拍手机>,1,3200,,,,,海思,海思 麒麟 810手机性能排行>,6,128,,2340x1080,,156.1*73.9*8.3,156.1,73.9,8.3,后置指纹 ,2019年10月,2019,10,,1,4000
华为Y8s（4GB/6GB/全网通）参数,华为手机,1322064,,,,1,,6.5,4800万像素+200万像素高清级像素高清像素手机>,2,4800,200,,,,800万像素+200万像素普通级像素高像素自拍手机>,2,800,200,,,,海思,海思 麒麟 710更多海思 麒麟 710手机>，手机性能排行>,4,64,,2340x1080,,162.4x77.1x8.135mm,162.4,77.1,8.135,后置指纹 ,2020年05月,2020,05,,1,4000
华为Mate 20 X（6GB RAM/全网通）参数,华为手机,1233492,,1,IP53,1,87.83,7.2,4000万像素+2000万像素+800万像素高清级像素 样张秀>，高清像素手机>,3,4000,2000,800,,,2400万像素高清级像素高像素自拍手机>,1,2400,,,,,海思,海思 麒麟 980游戏运行完美(击败95.92%手机)更多海思 麒麟 980手机>，手机性能排行>,6,128,,2244x1080,346ppi,174.6x85.4x8.15mm,174.6,85.4,8.15,,2018年10月26日,2018,10,,1,5000
华为P30 Pro（8GB/256GB/全网通）参数,华为手机,1291827,,1,IP68,1,88.61,6.47,4000万像素+2000万像素+800万像素+TOF镜头高清级像素 样张秀>，高清像素手机>,3,4000,2000,800,,,3200万像素高清级像素高像素自拍手机>,1,3200,,,,,海思,海思 麒麟 980更多海思 麒麟 980手机>，手机性能排行>,8,256,1,2340x1080,398ppi,158x73.4x8.41mm,158,73.4,8.41,屏幕指纹 ,2019年04月,2019,04,1,1,4200
华为畅享9S（6GB/64GB/全网通）参数,华为手机,1279792,,,,1,89,6.21,2400万像素+1600万像素+200万像素高清级像素高清像素手机>,3,2400,1600,200,,,800万像素>普通级像素高像素自拍手机>,1,800,,,,,海思,海思 麒麟 710更多海思 麒麟 710手机>，手机性能排行>,6,64,,2340x1080,415ppi,155.2x73.4x7.95mm,155.2,73.4,7.95,,2019年3月,2019,3,,1,3400
华为Mate30 RS保时捷版（12GB/512GB/全网通/5G版）参数,华为手机,1292757,,1,IP68,1,,6.53,4000万像素电影超广角镜头+4000万像素超感光镜头+800万像素长焦镜头+3D深感镜头高清级像素高清像素手机>,4,4000,4000,800,3,,3200万像素高清级像素高像素自拍手机>,1,3200,,,,,海思,海思 麒麟 990 5G手机性能排行>,12,512,1,2400x1176,,158.1x73.1x9.3mm,158.1,73.1,9.3,屏幕指纹 ,2019年11月,2019,11,1,1,4500
华为P20 Pro（8GB RAM/全网通）参数,华为手机,1231072,,1,IP67,1,81.99,6.1,4000万像素+2000万像素+800万像素高清级像素高清像素手机>,3,4000,2000,800,,,2400万像素高清级像素高像素自拍手机>,1,2400,,,,,海思,海思 麒麟 970更多海思 麒麟 970手机>，手机性能排行>,8,128,,2240x1080,408ppi,155x73.9x7.8mm,155,73.9,7.8,前置指纹 ,2018年04月12日,2018,04,,,4000
华为Y5 2017（全网通）参数,华为手机,1168569,,,,,,5,800万像素>普通级像素高清像素手机>,1,800,,,,,500万像素>普通级像素高像素自拍手机>,1,500,,,,,联发科,联发科 MT6737T手机性能排行>,2,16,,1280x720,294ppi,,,,,,2017年>,2017,,,,3000
